product,category,unit_price
Laptop,Electronics,1200
Mouse,Electronics,25
Desk,Furniture,300
Chair,Furniture,85
Keyboard,Electronics,70
Monitor,Electronics,250
Tablet,Electronics,450
Printer,Electronics,180
Bookshelf,Furniture,220
Coffee Table,Furniture,160
Headphones,Electronics,95
Webcam,Electronics,55
Microphone,Electronics,130
Standing Desk,Furniture,540
Office Lamp,Furniture,45
Router,Electronics,110
SSD Drive,Electronics,140
Projector,Electronics,620
Conference Chair,Furniture,190
Drawer Unit,Furniture,150
